pgmigrate_success 1383022
pgmigrate_fail 33
thp_migration_success 0
thp_migration_fail 0
thp_migration_split 0
thp_fault_alloc 1
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 0
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 0
thp_split_pmd 0
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 32391
htmm_nr_demoted 1278037
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 16428461
htmm_alloc_nvm 15170224
MemTotal:       1184200780 kB
MemFree:        1140197544 kB
MemAvailable:   1161157264 kB
Buffers:          220976 kB
Cached:         24569620 kB
SwapCached:            0 kB
Active:         22506296 kB
Inactive:        3026572 kB
Active(anon):       2916 kB
Inactive(anon):   745556 kB
Active(file):   22503380 kB
Inactive(file):  2281016 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:             34340 kB
Writeback:             0 kB
AnonPages:        742152 kB
Mapped:           428384 kB
Shmem:              6116 kB
KReclaimable:     535800 kB
Slab:             948408 kB
SReclaimable:     535800 kB
SUnreclaim:       412608 kB
KernelStack:       31760 kB
PageTables:        34844 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592100388 kB
Committed_AS:    8660492 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      196276 kB
VmallocChunk:          0 kB
Percpu:           121408 kB
HardwareCorrupted:     0 kB
AnonHugePages:      2048 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      671208 kB
DirectMap2M:     8202240 kB
DirectMap1G:    1180696576 kB
