pgmigrate_success 102817530
pgmigrate_fail 602
thp_migration_success 200764
thp_migration_fail 7
thp_migration_split 0
thp_fault_alloc 228608
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 124
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 14
thp_split_pmd 16
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 41684900
htmm_nr_demoted 61130550
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 55350020
htmm_alloc_nvm 62234380
MemTotal:       1184205832 kB
MemFree:        1164846188 kB
MemAvailable:   1162344064 kB
Buffers:            7032 kB
Cached:           357320 kB
SwapCached:            0 kB
Active:            88540 kB
Inactive:         965112 kB
Active(anon):        472 kB
Inactive(anon):   695456 kB
Active(file):      88068 kB
Inactive(file):   269656 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               120 kB
Writeback:             0 kB
AnonPages:        684780 kB
Mapped:           351868 kB
Shmem:              6108 kB
KReclaimable:     180084 kB
Slab:             570700 kB
SReclaimable:     180084 kB
SUnreclaim:       390616 kB
KernelStack:       29024 kB
PageTables:        31108 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592102916 kB
Committed_AS:    5733580 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      196724 kB
VmallocChunk:          0 kB
Percpu:           129024 kB
HardwareCorrupted:     0 kB
AnonHugePages:    237568 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      710120 kB
DirectMap2M:     8163328 kB
DirectMap1G:    1180696576 kB
